Category: All categories

Week,symptoms of e coli: (California),e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California)
2014-01-05,1,30,38,0,4
2014-01-12,2,27,43,0,3
2014-01-19,2,26,46,0,5
2014-01-26,1,29,58,0,4
2014-02-02,1,26,42,0,2
2014-02-09,0,28,52,0,2
2014-02-16,1,31,55,0,4
2014-02-23,4,30,53,0,5
2014-03-02,1,27,47,1,4
2014-03-09,0,27,47,0,4
2014-03-16,0,21,43,0,3
2014-03-23,1,27,42,0,5
2014-03-30,3,23,39,0,4
2014-04-06,1,29,45,0,3
2014-04-13,1,27,44,0,3
2014-04-20,1,24,42,0,4
2014-04-27,1,28,52,0,6
2014-05-04,2,25,44,0,5
2014-05-11,3,23,42,0,3
2014-05-18,2,62,85,0,10
2014-05-25,4,41,58,0,11
2014-06-01,0,31,54,0,3
2014-06-08,2,23,36,1,2
2014-06-15,0,22,37,1,7
2014-06-22,0,18,33,1,3
2014-06-29,0,26,35,0,3
2014-07-06,1,26,39,0,4
2014-07-13,0,20,35,0,1
2014-07-20,1,25,44,0,2
2014-07-27,0,23,39,0,2
2014-08-03,0,24,36,0,3
2014-08-10,0,26,44,0,3
2014-08-17,1,21,33,0,4
2014-08-24,0,25,41,0,3
2014-08-31,0,15,36,0,3
2014-09-07,1,45,65,1,7
2014-09-14,1,26,45,0,4
2014-09-21,3,27,42,1,3
2014-09-28,2,34,58,0,6
2014-10-05,3,34,55,0,3
2014-10-12,1,33,59,0,2
2014-10-19,2,75,100,0,10
2014-10-26,2,36,57,0,4
2014-11-02,1,33,52,0,3
2014-11-09,0,32,52,1,4
2014-11-16,3,39,58,1,7
2014-11-23,3,18,32,0,4
2014-11-30,2,31,49,0,6
2014-12-07,2,25,51,0,3
2014-12-14,0,17,35,0,1
2014-12-21,0,11,27,0,2
2014-12-28,0,19,31,0,6
