

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2015-01-04,0,13,0,<1,7
2015-01-11,<1,11,0,1,7
2015-01-18,0,16,0,2,10
2015-01-25,<1,12,<1,1,9
2015-02-01,0,17,0,0,11
2015-02-08,<1,15,0,1,9
2015-02-15,0,14,0,0,7
2015-02-22,<1,23,0,2,16
2015-03-01,0,16,0,1,10
2015-03-08,0,22,0,<1,13
2015-03-15,0,21,0,<1,12
2015-03-22,0,13,0,<1,8
2015-03-29,<1,10,0,1,7
2015-04-05,0,20,0,2,13
2015-04-12,0,13,0,0,8
2015-04-19,<1,14,0,1,9
2015-04-26,0,14,0,1,7
2015-05-03,0,12,0,<1,7
2015-05-10,1,17,0,2,12
2015-05-17,<1,17,0,2,10
2015-05-24,1,13,0,1,9
2015-05-31,0,12,0,<1,7
2015-06-07,<1,8,0,1,6
2015-06-14,1,9,0,2,6
2015-06-21,0,31,0,6,26
2015-06-28,<1,19,0,2,11
2015-07-05,1,16,0,1,11
2015-07-12,0,15,0,1,10
2015-07-19,0,16,0,1,9
2015-07-26,0,23,0,2,17
2015-08-02,<1,16,0,1,8
2015-08-09,0,12,0,1,9
2015-08-16,0,12,0,<1,7
2015-08-23,0,16,0,0,10
2015-08-30,0,11,0,1,9
2015-09-06,<1,13,0,1,8
2015-09-13,1,11,0,1,5
2015-09-20,1,20,0,2,11
2015-09-27,<1,21,0,2,12
2015-10-04,<1,14,0,<1,8
2015-10-11,0,14,0,<1,9
2015-10-18,0,19,0,1,13
2015-10-25,0,19,0,2,14
2015-11-01,1,100,<1,10,83
2015-11-08,0,30,0,3,23
2015-11-15,1,39,0,4,29
2015-11-22,3,87,1,11,74
2015-11-29,2,72,1,9,62
2015-12-06,2,58,0,8,50
2015-12-13,<1,35,0,4,27
2015-12-20,1,42,1,5,34
2015-12-27,<1,28,0,5,21
