

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2006-01-01,0,4,0,0,3
2006-01-08,0,6,0,0,4
2006-01-15,0,5,0,0,4
2006-01-22,0,3,0,0,0
2006-01-29,0,6,0,0,2
2006-02-05,0,7,0,0,2
2006-02-12,0,8,0,0,2
2006-02-19,0,6,0,1,3
2006-02-26,0,5,0,0,2
2006-03-05,0,9,0,1,4
2006-03-12,0,8,0,0,3
2006-03-19,0,7,0,0,3
2006-03-26,0,4,0,0,0
2006-04-02,0,7,0,0,3
2006-04-09,0,5,0,0,2
2006-04-16,0,4,0,1,3
2006-04-23,0,13,0,0,3
2006-04-30,0,10,0,0,5
2006-05-07,0,8,0,0,3
2006-05-14,0,6,0,0,2
2006-05-21,1,8,0,1,3
2006-05-28,1,4,0,1,2
2006-06-04,0,6,0,0,4
2006-06-11,1,10,0,1,4
2006-06-18,0,3,0,0,1
2006-06-25,0,5,0,0,3
2006-07-02,0,6,0,1,2
2006-07-09,0,7,0,1,3
2006-07-16,0,2,0,0,2
2006-07-23,1,7,0,1,4
2006-07-30,0,5,0,0,3
2006-08-06,1,22,0,1,17
2006-08-13,0,5,0,0,3
2006-08-20,0,5,0,0,2
2006-08-27,0,5,0,0,4
2006-09-03,0,5,0,1,3
2006-09-10,3,61,0,4,40
2006-09-17,5,100,0,13,65
2006-09-24,1,37,0,5,28
2006-10-01,0,21,0,2,13
2006-10-08,1,41,0,4,23
2006-10-15,0,14,0,1,8
2006-10-22,0,11,0,0,4
2006-10-29,0,11,0,1,4
2006-11-05,0,5,0,1,3
2006-11-12,0,8,0,0,4
2006-11-19,0,8,0,0,4
2006-11-26,0,9,0,1,3
2006-12-03,0,20,0,2,11
2006-12-10,0,24,0,3,12
2006-12-17,0,14,0,1,9
2006-12-24,1,6,0,1,4
2006-12-31,1,6,0,2,4
