

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2017-01-01,<1,18,0,1,11
2017-01-08,1,18,0,2,12
2017-01-15,1,21,<1,1,13
2017-01-22,1,25,0,1,13
2017-01-29,1,25,<1,1,15
2017-02-05,0,18,0,1,11
2017-02-12,1,26,0,1,13
2017-02-19,0,23,0,1,13
2017-02-26,<1,24,0,1,16
2017-03-05,1,28,0,3,17
2017-03-12,<1,25,0,1,17
2017-03-19,0,22,0,<1,13
2017-03-26,<1,26,0,2,16
2017-04-02,<1,25,0,2,15
2017-04-09,<1,28,0,1,21
2017-04-16,1,24,0,1,17
2017-04-23,0,29,0,1,19
2017-04-30,1,26,0,2,11
2017-05-07,1,32,0,2,19
2017-05-14,1,22,0,2,13
2017-05-21,1,24,0,2,17
2017-05-28,0,19,0,1,11
2017-06-04,1,24,0,3,14
2017-06-11,0,19,0,2,10
2017-06-18,1,18,<1,2,12
2017-06-25,1,25,0,2,16
2017-07-02,1,20,0,2,13
2017-07-09,<1,23,0,1,13
2017-07-16,1,22,0,2,14
2017-07-23,0,21,<1,1,15
2017-07-30,1,33,0,4,26
2017-08-06,1,21,0,2,14
2017-08-13,<1,17,0,2,10
2017-08-20,0,22,0,1,15
2017-08-27,0,21,0,1,12
2017-09-03,0,24,0,1,15
2017-09-10,1,27,0,3,20
2017-09-17,<1,22,0,1,14
2017-09-24,<1,26,0,2,15
2017-10-01,<1,26,<1,1,17
2017-10-08,<1,25,0,1,16
2017-10-15,1,23,0,1,13
2017-10-22,1,28,<1,3,19
2017-10-29,0,31,0,4,20
2017-11-05,<1,27,0,2,19
2017-11-12,<1,23,0,1,15
2017-11-19,<1,20,0,1,12
2017-11-26,0,26,0,2,17
2017-12-03,0,27,0,<1,19
2017-12-10,0,25,0,<1,14
2017-12-17,<1,11,0,1,7
2017-12-24,1,14,<1,3,9
2017-12-31,4,100,1,22,87
