

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2008-01-06,0,29,0,4,17
2008-01-13,0,49,0,0,20
2008-01-20,0,71,0,4,24
2008-01-27,0,47,0,0,12
2008-02-03,0,61,0,0,20
2008-02-10,0,74,0,0,21
2008-02-17,0,41,0,0,25
2008-02-24,0,48,0,0,20
2008-03-02,0,83,0,0,33
2008-03-09,0,82,0,0,37
2008-03-16,0,64,0,0,13
2008-03-23,0,45,0,0,20
2008-03-30,0,35,0,0,15
2008-04-06,0,70,0,0,19
2008-04-13,0,54,0,0,25
2008-04-20,0,70,0,0,33
2008-04-27,0,42,0,0,12
2008-05-04,0,73,0,0,20
2008-05-11,0,49,0,4,16
2008-05-18,4,64,0,4,12
2008-05-25,0,38,0,0,8
2008-06-01,0,47,0,0,16
2008-06-08,0,45,0,0,12
2008-06-15,0,29,0,0,13
2008-06-22,0,50,0,0,12
2008-06-29,0,35,0,0,22
2008-07-06,0,24,0,0,4
2008-07-13,0,24,0,0,12
2008-07-20,0,52,0,0,36
2008-07-27,0,43,0,0,35
2008-08-03,0,48,0,0,12
2008-08-10,0,47,0,0,16
2008-08-17,0,27,0,0,12
2008-08-24,4,100,0,4,42
2008-08-31,0,39,0,0,12
2008-09-07,0,81,0,0,26
2008-09-14,0,33,0,0,22
2008-09-21,0,66,0,4,26
2008-09-28,0,67,0,0,18
2008-10-05,0,61,0,3,23
2008-10-12,0,73,0,0,10
2008-10-19,7,71,0,11,21
2008-10-26,0,81,0,3,37
2008-11-02,0,51,0,0,7
2008-11-09,0,48,0,0,21
2008-11-16,4,60,0,4,32
2008-11-23,4,54,0,4,23
2008-11-30,0,58,0,0,24
2008-12-07,0,44,0,0,10
2008-12-14,0,51,0,0,18
2008-12-21,0,54,0,5,27
2008-12-28,0,17,0,0,4
