Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2018-01-07,1,25,<1,4,21
2018-01-14,1,13,0,2,10
2018-01-21,<1,10,0,1,7
2018-01-28,<1,10,<1,1,7
2018-02-04,<1,9,0,1,7
2018-02-11,<1,9,0,<1,6
2018-02-18,<1,7,0,1,4
2018-02-25,<1,10,<1,1,7
2018-03-04,<1,9,0,1,6
2018-03-11,<1,8,0,1,5
2018-03-18,<1,8,<1,<1,5
2018-03-25,0,8,0,<1,6
2018-04-01,0,8,0,1,5
2018-04-08,<1,14,0,1,10
2018-04-15,1,35,<1,6,30
2018-04-22,3,53,1,11,47
2018-04-29,3,43,<1,11,38
2018-05-06,2,27,0,7,22
2018-05-13,<1,17,<1,3,14
2018-05-20,1,13,0,2,10
2018-05-27,<1,11,0,1,8
2018-06-03,<1,11,<1,2,8
2018-06-10,0,9,0,1,7
2018-06-17,<1,8,<1,1,5
2018-06-24,<1,8,<1,1,5
2018-07-01,<1,9,0,1,7
2018-07-08,<1,10,<1,1,7
2018-07-15,<1,8,<1,1,6
2018-07-22,<1,8,<1,1,6
2018-07-29,<1,8,0,1,5
2018-08-05,<1,8,<1,<1,5
2018-08-12,<1,8,0,1,5
2018-08-19,<1,8,0,<1,5
2018-08-26,<1,10,<1,1,7
2018-09-02,<1,9,0,<1,6
2018-09-09,<1,10,0,1,7
2018-09-16,<1,11,<1,1,9
2018-09-23,<1,10,<1,1,7
2018-09-30,<1,10,0,1,7
2018-10-07,<1,10,0,1,7
2018-10-14,<1,12,0,<1,9
2018-10-21,<1,9,0,1,6
2018-10-28,<1,10,0,1,7
2018-11-04,<1,8,<1,<1,5
2018-11-11,<1,10,0,1,6
2018-11-18,6,100,1,24,93
2018-11-25,2,45,<1,10,39
2018-12-02,1,25,<1,4,20
2018-12-09,1,18,<1,2,15
2018-12-16,1,16,<1,2,12
2018-12-23,<1,7,<1,1,5
2018-12-30,<1,7,<1,1,5
