

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2014-01-05,2,44,0,3,34
2014-01-12,2,45,0,5,27
2014-01-19,2,57,0,3,32
2014-01-26,2,55,0,5,31
2014-02-02,1,45,0,2,24
2014-02-09,0,57,0,3,36
2014-02-16,0,52,0,4,31
2014-02-23,4,57,0,8,40
2014-03-02,1,55,0,2,30
2014-03-09,1,61,0,4,39
2014-03-16,1,43,0,3,22
2014-03-23,2,53,0,4,32
2014-03-30,2,49,0,4,32
2014-04-06,2,47,0,4,29
2014-04-13,1,47,0,4,30
2014-04-20,0,45,0,3,30
2014-04-27,1,51,0,3,25
2014-05-04,1,53,0,6,28
2014-05-11,1,46,0,1,23
2014-05-18,4,84,0,10,61
2014-05-25,5,61,0,9,41
2014-06-01,1,58,0,3,32
2014-06-08,1,42,1,3,26
2014-06-15,0,36,0,5,22
2014-06-22,1,35,0,1,18
2014-06-29,0,37,0,2,23
2014-07-06,0,38,0,4,27
2014-07-13,3,37,0,3,19
2014-07-20,1,48,1,2,26
2014-07-27,1,40,0,2,22
2014-08-03,0,36,0,1,23
2014-08-10,0,52,0,4,29
2014-08-17,0,35,0,4,24
2014-08-24,3,43,0,8,23
2014-08-31,0,36,0,1,18
2014-09-07,1,63,0,7,41
2014-09-14,1,53,0,6,33
2014-09-21,1,42,1,2,23
2014-09-28,3,64,0,7,37
2014-10-05,0,63,0,5,37
2014-10-12,1,64,0,5,38
2014-10-19,1,100,0,6,69
2014-10-26,3,61,1,5,42
2014-11-02,1,60,0,4,34
2014-11-09,3,68,0,4,42
2014-11-16,3,66,1,6,45
2014-11-23,0,35,0,1,24
2014-11-30,2,61,0,4,34
2014-12-07,1,62,0,2,33
2014-12-14,0,42,0,3,19
2014-12-21,0,29,0,3,19
2014-12-28,0,31,0,5,18
