

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2013-01-06,1,39,0,3,17
2013-01-13,0,38,0,4,23
2013-01-20,1,46,0,4,25
2013-01-27,1,49,0,2,25
2013-02-03,1,56,0,4,33
2013-02-10,1,57,0,5,31
2013-02-17,0,60,1,7,43
2013-02-24,1,51,0,3,28
2013-03-03,1,63,1,5,38
2013-03-10,0,70,0,5,41
2013-03-17,1,64,0,5,29
2013-03-24,1,49,0,7,33
2013-03-31,1,50,0,1,30
2013-04-07,1,50,1,6,32
2013-04-14,1,48,0,7,31
2013-04-21,2,51,1,3,28
2013-04-28,2,58,1,3,37
2013-05-05,2,61,0,5,37
2013-05-12,1,49,0,1,29
2013-05-19,1,62,1,7,38
2013-05-26,2,41,0,5,29
2013-06-02,2,49,0,3,28
2013-06-09,2,46,0,6,29
2013-06-16,1,51,0,6,32
2013-06-23,1,48,0,4,29
2013-06-30,0,30,0,1,19
2013-07-07,1,41,0,3,26
2013-07-14,2,40,2,2,24
2013-07-21,1,34,0,3,21
2013-07-28,2,50,0,9,35
2013-08-04,1,40,1,2,27
2013-08-11,0,36,0,2,21
2013-08-18,2,42,0,4,25
2013-08-25,2,48,1,5,28
2013-09-01,1,55,0,5,35
2013-09-08,1,52,0,7,34
2013-09-15,0,53,0,5,34
2013-09-22,1,61,1,5,36
2013-09-29,4,54,1,5,31
2013-10-06,1,49,0,4,27
2013-10-13,1,62,0,4,41
2013-10-20,2,54,1,6,28
2013-10-27,0,58,0,3,29
2013-11-03,2,58,0,5,30
2013-11-10,1,100,1,13,73
2013-11-17,0,75,0,2,39
2013-11-24,0,44,0,1,21
2013-12-01,1,52,0,3,28
2013-12-08,1,59,1,2,33
2013-12-15,2,47,1,4,26
2013-12-22,1,29,1,3,19
2013-12-29,1,31,0,4,19
