Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2011-01-02,1,14,0,2,9
2011-01-09,0,16,0,2,9
2011-01-16,0,20,0,1,11
2011-01-23,1,24,0,1,12
2011-01-30,1,26,0,2,12
2011-02-06,0,21,0,2,11
2011-02-13,1,22,0,2,12
2011-02-20,1,21,0,4,11
2011-02-27,0,26,0,2,13
2011-03-06,1,29,0,4,19
2011-03-13,2,23,1,2,15
2011-03-20,0,28,0,2,13
2011-03-27,0,23,0,2,12
2011-04-03,1,26,0,2,14
2011-04-10,0,29,0,2,17
2011-04-17,0,25,0,2,13
2011-04-24,1,24,0,2,13
2011-05-01,1,26,0,2,15
2011-05-08,0,19,0,2,9
2011-05-15,1,23,0,1,11
2011-05-22,1,23,1,2,14
2011-05-29,2,100,1,8,73
2011-06-05,1,74,0,6,56
2011-06-12,2,28,1,4,17
2011-06-19,1,27,1,2,17
2011-06-26,0,18,1,1,13
2011-07-03,1,24,0,2,13
2011-07-10,1,19,0,2,13
2011-07-17,1,19,0,2,11
2011-07-24,1,19,0,2,11
2011-07-31,1,20,0,2,14
2011-08-07,0,23,0,1,14
2011-08-14,1,16,0,2,9
2011-08-21,1,17,0,3,11
2011-08-28,1,17,0,3,12
2011-09-04,0,15,0,1,10
2011-09-11,1,25,1,2,17
2011-09-18,0,24,0,2,13
2011-09-25,0,25,0,2,12
2011-10-02,1,21,0,2,10
2011-10-09,1,26,0,2,15
2011-10-16,1,19,0,1,12
2011-10-23,0,21,0,0,12
2011-10-30,1,28,0,2,16
2011-11-06,1,21,0,1,8
2011-11-13,1,28,0,4,20
2011-11-20,0,21,0,3,15
2011-11-27,1,23,0,1,15
2011-12-04,0,26,0,1,15
2011-12-11,1,26,0,2,16
2011-12-18,1,15,1,3,10
2011-12-25,1,11,0,2,6
