Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2009-01-04,4,51,0,6,30
2009-01-11,0,49,0,0,16
2009-01-18,0,66,0,6,29
2009-01-25,4,75,0,6,32
2009-02-01,0,96,0,0,46
2009-02-08,0,77,0,4,34
2009-02-15,4,69,0,4,26
2009-02-22,0,89,0,4,36
2009-03-01,4,56,0,8,23
2009-03-08,0,72,0,4,23
2009-03-15,0,56,0,4,25
2009-03-22,0,71,0,0,25
2009-03-29,0,66,0,0,21
2009-04-05,0,47,0,4,22
2009-04-12,0,66,0,4,21
2009-04-19,0,70,0,4,30
2009-04-26,0,64,0,6,29
2009-05-03,0,46,0,4,15
2009-05-10,0,64,0,0,29
2009-05-17,0,54,0,4,11
2009-05-24,0,58,0,0,32
2009-05-31,0,68,0,0,21
2009-06-07,0,44,0,0,9
2009-06-14,4,71,0,6,39
2009-06-21,0,80,0,7,41
2009-06-28,4,95,0,8,50
2009-07-05,0,63,0,4,17
2009-07-12,4,46,0,4,15
2009-07-19,0,53,0,0,18
2009-07-26,0,60,0,7,25
2009-08-02,0,54,0,4,23
2009-08-09,0,52,0,4,23
2009-08-16,0,50,0,4,21
2009-08-23,0,52,0,3,19
2009-08-30,0,67,0,3,22
2009-09-06,4,58,4,4,34
2009-09-13,0,67,0,3,17
2009-09-20,0,62,0,3,27
2009-09-27,0,65,0,3,25
2009-10-04,0,85,0,3,28
2009-10-11,0,100,0,0,33
2009-10-18,0,81,0,0,39
2009-10-25,3,63,0,3,19
2009-11-01,3,84,0,6,44
2009-11-08,0,67,0,3,18
2009-11-15,0,66,0,3,30
2009-11-22,0,70,0,4,28
2009-11-29,3,72,0,5,20
2009-12-06,3,75,0,6,34
2009-12-13,0,51,0,0,18
2009-12-20,0,47,0,4,18
2009-12-27,0,33,0,0,17
