Category: All categories

Week,symptoms of e coli: (California),e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California)
2015-01-04,<1,8,13,0,1
2015-01-11,<1,8,12,0,1
2015-01-18,<1,9,17,0,1
2015-01-25,<1,9,16,0,1
2015-02-01,<1,9,15,0,1
2015-02-08,<1,8,15,0,1
2015-02-15,<1,10,16,0,<1
2015-02-22,<1,12,18,0,2
2015-03-01,<1,10,18,0,1
2015-03-08,<1,12,20,0,1
2015-03-15,0,8,14,0,1
2015-03-22,<1,8,15,0,1
2015-03-29,<1,8,14,0,2
2015-04-05,<1,11,16,0,1
2015-04-12,<1,10,14,0,1
2015-04-19,<1,7,12,0,1
2015-04-26,<1,11,17,0,2
2015-05-03,1,8,15,0,1
2015-05-10,<1,12,19,0,2
2015-05-17,0,8,13,0,1
2015-05-24,1,8,12,0,1
2015-05-31,<1,10,15,<1,1
2015-06-07,<1,7,10,0,2
2015-06-14,1,6,11,0,2
2015-06-21,1,28,35,<1,5
2015-06-28,1,15,20,0,2
2015-07-05,1,9,13,0,2
2015-07-12,0,8,12,0,1
2015-07-19,0,12,19,0,1
2015-07-26,1,14,19,0,3
2015-08-02,1,8,14,0,2
2015-08-09,0,7,11,0,1
2015-08-16,0,7,11,0,1
2015-08-23,0,8,14,0,1
2015-08-30,0,7,11,0,1
2015-09-06,<1,9,15,0,2
2015-09-13,<1,8,13,0,1
2015-09-20,1,11,18,<1,2
2015-09-27,0,11,20,0,1
2015-10-04,<1,12,18,0,1
2015-10-11,<1,8,16,0,1
2015-10-18,<1,12,18,0,1
2015-10-25,<1,12,17,0,1
2015-11-01,2,86,100,1,11
2015-11-08,0,23,29,<1,2
2015-11-15,1,36,44,0,6
2015-11-22,3,76,87,1,11
2015-11-29,2,66,78,<1,12
2015-12-06,2,49,58,0,8
2015-12-13,1,27,37,<1,4
2015-12-20,1,36,40,1,5
2015-12-27,1,23,27,0,5
