Category: All categories

Week,symptoms of e coli: (California),e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California)
2017-01-01,0,7,15,0,<1
2017-01-08,1,11,18,0,3
2017-01-15,<1,15,23,0,<1
2017-01-22,1,12,25,0,1
2017-01-29,<1,15,24,<1,1
2017-02-05,0,17,24,0,1
2017-02-12,<1,13,22,0,1
2017-02-19,<1,14,22,0,2
2017-02-26,0,17,25,0,2
2017-03-05,<1,19,28,0,3
2017-03-12,1,17,29,<1,2
2017-03-19,0,12,22,0,0
2017-03-26,0,17,23,0,2
2017-04-02,<1,14,23,0,2
2017-04-09,<1,18,25,0,2
2017-04-16,1,14,21,0,2
2017-04-23,0,18,27,0,1
2017-04-30,1,12,24,0,1
2017-05-07,2,20,32,0,3
2017-05-14,1,12,21,0,2
2017-05-21,1,16,25,0,2
2017-05-28,0,11,20,0,2
2017-06-04,1,17,28,0,3
2017-06-11,0,11,21,0,2
2017-06-18,1,10,19,<1,3
2017-06-25,<1,20,26,1,2
2017-07-02,<1,14,20,0,3
2017-07-09,0,14,22,0,1
2017-07-16,1,15,25,0,3
2017-07-23,0,15,22,0,1
2017-07-30,1,26,34,0,3
2017-08-06,1,15,21,0,4
2017-08-13,1,14,20,<1,3
2017-08-20,1,13,20,<1,2
2017-08-27,0,13,20,0,<1
2017-09-03,1,12,20,0,2
2017-09-10,1,17,28,0,3
2017-09-17,<1,12,21,0,<1
2017-09-24,<1,14,26,0,1
2017-10-01,<1,18,27,0,2
2017-10-08,1,16,28,0,2
2017-10-15,1,13,24,0,2
2017-10-22,1,22,31,0,3
2017-10-29,0,17,30,0,1
2017-11-05,<1,18,27,0,3
2017-11-12,<1,12,23,0,1
2017-11-19,<1,15,22,0,<1
2017-11-26,1,17,27,0,3
2017-12-03,<1,15,25,0,1
2017-12-10,<1,14,25,0,1
2017-12-17,<1,11,16,0,2
2017-12-24,0,9,14,0,2
2017-12-31,3,90,100,1,19
